instrument_id,level,side,quantity,price
2,0,1,22,-302
0,0,1,42,1131
1,0,0,0,1066
2,0,1,27,549
0,0,1,24,1115
1,0,0,1,1160
2,0,1,14,-502
0,0,1,16,1356
1,0,0,25,1250
2,0,1,6,-183
0,0,1,7,1045
1,0,0,22,1272
2,0,1,21,230
0,0,1,23,1224
1,0,0,16,1095
2,0,1,49,-113
0,0,1,41,1061
1,0,0,27,1044
2,0,1,46,74
0,0,1,36,1462
1,0,0,26,1005
2,0,1,26,596
0,0,1,40,1420
1,0,0,10,1327
2,0,1,13,123
0,0,1,24,1430
1,0,0,28,1218
2,0,1,35,650
0,0,1,1,1048
1,0,0,7,1371
2,0,1,1,-527
0,0,1,13,1012
1,0,0,3,1343
2,0,1,47,-41
